Term,DocID&Sequence
necessary,"[[1, 1], [3, 1], [60, 1], [73, 1]]"
manage,"[[1, 1], [3, 1], [83, 1]]"
organization,"[[1, 2], [2, 1], [3, 2], [4, 1], [5, 1], [6, 2], [12, 1], [15, 1], [18, 1], [21, 2], [33, 1], [34, 1], [36, 1], [38, 1], [55, 1], [56, 1], [57, 2], [65, 1], [74, 1], [86, 3], [92, 3], [94, 1], [99, 1], [101, 1], [102, 1], [104, 1], [135, 2], [137, 1], [150, 1], [156, 7], [157, 2], [158, 1], [161, 2], [179, 1], [182, 1], [211, 1], [222, 1], [267, 1], [277, 1], [278, 1], [279, 1], [319, 1], [326, 1], [333, 1], [346, 1], [555, 1], [566, 1]]"
learn,"[[1, 1], [2, 1], [3, 1], [4, 1], [66, 2], [83, 1]]"
manager,"[[1, 1], [3, 1], [14, 1], [52, 1], [58, 1], [66, 1], [71, 1], [91, 1], [182, 1]]"
's,"[[1, 2], [3, 2], [15, 1], [29, 1], [52, 2], [154, 1], [156, 3], [226, 1], [260, 1], [280, 1], [281, 1], [282, 1], [367, 2], [368, 2], [369, 1], [380, 1], [381, 5], [390, 1], [419, 1], [421, 1], [427, 2], [440, 1], [456, 1], [457, 1], [460, 1], [462, 1], [465, 1], [470, 2], [477, 1], [496, 1], [498, 1], [528, 1], [541, 1], [588, 1]]"
role,"[[1, 1], [3, 1], [5, 1], [14, 1], [21, 1], [27, 1], [45, 1], [48, 1], [64, 1], [69, 1], [70, 1], [101, 1], [137, 2], [172, 1], [182, 1], [219, 1], [241, 1], [244, 1], [256, 1], [305, 1], [311, 1], [557, 1], [569, 1]]"
managerial,"[[1, 2], [3, 2], [14, 1], [23, 1], [72, 1], [89, 1], [95, 2], [97, 1], [98, 1], [101, 1], [161, 1]]"
function,"[[1, 1], [3, 1], [21, 1], [34, 1], [46, 1], [97, 1], [99, 1], [104, 1], [122, 1], [144, 1], [158, 1], [164, 2], [254, 1], [267, 1], [270, 1], [271, 2], [305, 1], [321, 1], [362, 1], [364, 1], [365, 1], [366, 8], [367, 4], [370, 1], [372, 2], [373, 1], [374, 1], [375, 1], [378, 1], [381, 1], [382, 1], [385, 1], [388, 2], [390, 1], [391, 1], [393, 1], [398, 5], [399, 1], [402, 2], [404, 1], [406, 2], [421, 1], [427, 1], [431, 1], [433, 1], [434, 1], [440, 1], [453, 3], [460, 1], [470, 1], [485, 1], [486, 1], [498, 1], [501, 1], [547, 1], [553, 2], [555, 1], [597, 2]]"
planning,"[[1, 1], [3, 1], [7, 1], [10, 1], [11, 1], [13, 1], [19, 1], [20, 4], [21, 1], [24, 2], [33, 1], [39, 1], [50, 1], [60, 1], [67, 2], [71, 2], [72, 1], [91, 1], [93, 2], [95, 1], [102, 2], [121, 1], [133, 3], [152, 1], [154, 1], [161, 3], [173, 1], [175, 1], [176, 1], [180, 3], [182, 2], [237, 1], [347, 1], [551, 1], [608, 1]]"
organizing,"[[1, 1], [3, 1], [154, 1]]"
leading,"[[1, 1], [3, 1], [52, 1], [233, 1], [264, 1], [405, 1], [532, 1]]"
controlling,"[[1, 1], [3, 1], [20, 1], [153, 1]]"
communication,"[[1, 1], [3, 1], [19, 5], [28, 1], [32, 1], [85, 1], [122, 1], [130, 2], [178, 2], [197, 1], [214, 2], [223, 1], [232, 1], [274, 1], [275, 1], [276, 1], [283, 1], [284, 1], [285, 1], [307, 1], [321, 1], [535, 1], [553, 1], [554, 2], [556, 2], [564, 1], [565, 1], [575, 1], [599, 1], [614, 2]]"
used,"[[1, 1], [3, 1], [6, 1], [25, 1], [83, 1], [134, 1], [142, 1], [143, 1], [144, 1], [234, 1], [239, 1], [247, 1], [327, 1], [348, 1], [417, 1], [448, 1], [476, 1], [494, 1]]"
oversee,"[[1, 1], [3, 1], [43, 1], [82, 1]]"
human,"[[1, 1], [3, 1], [6, 1], [13, 2], [24, 1], [28, 2], [33, 1], [66, 1], [67, 5], [93, 4], [160, 2], [173, 1], [199, 1], [204, 1], [220, 5], [230, 1], [241, 2], [246, 1], [247, 2], [306, 1], [319, 1], [323, 1], [328, 1], [590, 1], [591, 1], [598, 1], [611, 1]]"
financial,"[[1, 1], [3, 1], [5, 3], [14, 1], [15, 1], [16, 2], [24, 1], [30, 1], [39, 1], [43, 1], [44, 1], [74, 2], [75, 1], [76, 1], [79, 1], [80, 1], [82, 1], [94, 4], [96, 1], [110, 1], [119, 1], [145, 1], [162, 7], [169, 2], [170, 1], [172, 1], [195, 1], [415, 1], [442, 1], [604, 1]]"
physical,"[[1, 1], [3, 1], [24, 1], [64, 1], [205, 1], [216, 1], [234, 1], [237, 1], [334, 1], [335, 1], [353, 1], [369, 1], [539, 1], [544, 1], [563, 1], [584, 1], [599, 1], [601, 1], [613, 1]]"
material,"[[1, 1], [3, 1], [15, 1], [20, 1], [21, 2], [137, 1], [181, 1], [452, 1]]"
commercial,"[[1, 1], [3, 1], [25, 1]]"
resource,"[[1, 1], [3, 1], [6, 1], [7, 1], [13, 2], [24, 1], [28, 1], [52, 1], [54, 1], [66, 1], [67, 4], [93, 3], [99, 1], [105, 1], [133, 2], [160, 2], [161, 1], [565, 1], [596, 1]]"
particular,"[[1, 1], [3, 1], [47, 1], [155, 1], [212, 1], [238, 1], [240, 1], [257, 1], [258, 1], [259, 1], [270, 1], [476, 1], [571, 1], [591, 1], [638, 1]]"
case,"[[1, 1], [3, 1], [26, 1], [52, 1], [59, 1], [68, 2], [84, 1], [143, 1], [173, 1], [191, 1], [247, 1], [366, 1], [372, 1], [374, 1], [390, 1], [575, 1], [590, 1], [601, 1], [616, 1]]"
method,"[[1, 1], [3, 1], [8, 1], [9, 2], [31, 1], [38, 1], [50, 1], [51, 1], [52, 1], [89, 1], [92, 1], [102, 1], [121, 1], [122, 2], [132, 1], [141, 1], [143, 1], [149, 1], [172, 1], [180, 2], [183, 1], [203, 1], [211, 1], [234, 1], [235, 1], [244, 1], [247, 1], [252, 1], [322, 1], [325, 1], [327, 2], [353, 1], [367, 1], [368, 1], [387, 1], [392, 1], [393, 2], [395, 1], [402, 1], [407, 1], [411, 2], [415, 2], [416, 2], [421, 3], [435, 1], [443, 1], [444, 3], [449, 4], [453, 1], [459, 1], [460, 1], [476, 1], [491, 1], [493, 3], [495, 3], [496, 3], [501, 1], [506, 1], [529, 2], [531, 1], [537, 1], [550, 1], [552, 1], [559, 1], [568, 3], [573, 1], [574, 1], [580, 1], [581, 1], [582, 1], [597, 1], [600, 1], [605, 1], [610, 1], [619, 1], [626, 2]]"
