Term,DocID&Sequence
determination,"[[14, 1], [79, 1], [170, 1], [414, 1]]"
cost,"[[14, 5], [16, 1], [38, 5], [95, 2], [96, 1], [97, 1], [134, 1], [146, 1], [163, 1], [452, 1]]"
relevant,"[[14, 1], [25, 1], [31, 1], [70, 1], [95, 1], [298, 1], [317, 1], [611, 1], [616, 1], [625, 1]]"
standard,"[[14, 1], [57, 1], [121, 1], [196, 1], [235, 1], [333, 1], [369, 1], [373, 1], [376, 1], [378, 1], [500, 1], [540, 1], [561, 1], [576, 1], [616, 1], [638, 1]]"
budgeting,"[[14, 1], [16, 1], [40, 1], [78, 1], [96, 1], [167, 1]]"
approached,"[[14, 1]]"
order,"[[14, 1], [38, 1], [240, 1], [364, 1], [386, 2], [390, 1], [395, 2], [421, 1], [559, 1]]"
give,"[[14, 1]]"
appreciation,"[[14, 1]]"
value,"[[14, 1], [28, 1], [53, 1], [56, 1], [96, 1], [99, 1], [122, 1], [241, 1], [325, 1], [366, 2], [367, 2], [369, 2], [387, 1], [407, 1], [433, 1], [442, 1], [485, 1], [493, 1], [629, 1]]"
available,"[[14, 1], [592, 1], [593, 1], [594, 1], [595, 1]]"
solution,"[[14, 1], [48, 2], [84, 1], [122, 1], [183, 1], [197, 1], [245, 1], [363, 1], [364, 1], [371, 1], [372, 2], [373, 1], [386, 1], [395, 2], [406, 1], [421, 1], [459, 2], [460, 1], [493, 1], [568, 3], [616, 1]]"
faced,"[[14, 1]]"
2342,"[[15, 1], [36, 1], [387, 1]]"
intermediate,"[[15, 1], [36, 1], [367, 1], [369, 1]]"
extends,"[[15, 1]]"
advanced,"[[15, 1], [18, 1], [22, 1], [51, 2], [69, 2], [75, 2], [78, 2], [83, 1], [118, 1], [188, 1], [241, 2], [269, 1], [270, 1], [294, 1], [295, 1], [318, 2], [339, 2], [354, 1], [355, 1], [431, 1], [437, 1], [450, 1], [476, 1], [489, 1], [491, 1], [516, 1], [540, 1], [544, 1], [572, 1], [576, 1], [577, 1], [579, 1], [581, 1], [587, 1], [597, 1], [603, 1], [605, 1], [614, 1], [623, 1], [629, 1], [632, 1], [633, 1], [634, 1], [635, 1], [636, 1], [637, 1], [638, 2]]"
covered,"[[15, 1], [122, 1], [146, 1], [156, 1], [234, 1], [269, 1], [319, 1], [548, 1], [549, 1], [592, 1], [593, 1], [594, 1], [595, 1]]"
procedure,"[[15, 1], [36, 1], [72, 1], [144, 1], [262, 1], [269, 1], [270, 1], [301, 1], [345, 1], [557, 1], [560, 1]]"
current,"[[15, 1], [36, 1], [64, 1], [66, 1], [69, 1], [84, 1], [85, 1], [134, 1], [136, 1], [205, 1], [207, 1], [210, 1], [211, 1], [213, 1], [214, 1], [215, 1], [216, 1], [217, 1], [218, 2], [219, 1], [220, 2], [221, 1], [222, 1], [223, 1], [224, 1], [226, 1], [227, 1], [228, 1], [229, 1], [230, 1], [233, 1], [234, 1], [236, 1], [237, 1], [239, 1], [241, 1], [244, 1], [246, 1], [247, 1], [248, 1], [252, 1], [268, 2], [271, 1], [273, 1], [299, 1], [318, 1], [323, 1], [380, 1], [476, 1], [576, 1], [591, 1], [607, 1], [617, 1], [625, 2]]"
proposed,"[[15, 1], [36, 1]]"
studied,"[[15, 1], [36, 1], [68, 1], [205, 1], [273, 1], [301, 1], [345, 1], [350, 1], [365, 1]]"
balance,"[[15, 1], [36, 1]]"
sheet,"[[15, 1], [36, 1]]"
income,"[[15, 1], [36, 1], [37, 4], [41, 2], [71, 1], [74, 1], [81, 2], [94, 1], [162, 1], [163, 4], [168, 2], [172, 1]]"
item,"[[15, 1], [36, 1], [235, 1], [317, 4]]"
asset,"[[15, 1], [42, 1], [94, 1], [96, 1], [116, 1], [162, 1], [167, 1], [168, 1], [171, 1]]"
conjunction,"[[15, 1]]"
3340,"[[15, 1], [36, 1]]"
enhances,"[[15, 1]]"
reporting,"[[15, 1], [39, 1], [74, 1], [75, 1], [80, 1], [94, 1], [162, 1]]"
2350,"[[16, 1]]"
market,"[[16, 1], [24, 1], [25, 1], [26, 1], [31, 2], [42, 1], [44, 1], [52, 1], [60, 1], [62, 1], [63, 1], [77, 1], [79, 2], [85, 2], [96, 1], [97, 1], [154, 2], [155, 1], [169, 1], [170, 2], [172, 2]]"
valuation,"[[16, 1], [41, 1], [43, 1], [76, 3], [77, 1], [82, 1], [96, 1], [116, 1], [168, 1], [171, 2], [172, 1]]"
risk,"[[16, 1], [17, 2], [39, 1], [40, 2], [50, 1], [55, 1], [57, 1], [77, 1], [81, 6], [84, 1], [96, 1], [122, 1], [131, 1], [137, 1], [139, 1], [140, 1], [151, 1], [171, 1], [172, 1], [181, 2], [231, 1], [335, 1]]"
return,"[[16, 1], [17, 1]]"
capital,"[[16, 3], [40, 2], [42, 1], [78, 2], [79, 1], [96, 3], [163, 3], [167, 2], [170, 1]]"
certainty,"[[16, 1], [96, 1]]"
long-term,"[[16, 1], [52, 1], [75, 1], [96, 1]]"
financing,"[[16, 2], [44, 1], [55, 1], [96, 1], [172, 1]]"
working,"[[16, 1], [90, 1], [96, 1], [314, 1]]"
short-term,"[[16, 1], [322, 1]]"
2352,"[[17, 1]]"
theory,"[[17, 2], [29, 1], [32, 1], [39, 1], [42, 2], [70, 2], [78, 1], [83, 1], [146, 1], [151, 1], [152, 1], [167, 1], [183, 1], [214, 1], [233, 2], [264, 2], [266, 1], [303, 3], [317, 1], [328, 1], [356, 1], [357, 1], [374, 1], [375, 2], [379, 2], [380, 2], [384, 1], [387, 1], [388, 1], [390, 4], [392, 1], [404, 1], [405, 1], [409, 1], [410, 3], [412, 1], [414, 1], [418, 1], [424, 2], [428, 1], [431, 3], [432, 3], [433, 1], [434, 1], [435, 1], [436, 1], [438, 2], [439, 1], [440, 2], [441, 1], [442, 1], [443, 1], [447, 1], [449, 2], [451, 3], [452, 1], [456, 1], [459, 1], [463, 2], [465, 1], [466, 1], [468, 1], [476, 1], [477, 2], [478, 2], [479, 1], [480, 1], [481, 1], [483, 1], [485, 1], [486, 1], [489, 1], [491, 1], [492, 1], [496, 2], [498, 1], [499, 2], [500, 2], [501, 1], [503, 2], [505, 1], [506, 1], [520, 1], [531, 1], [536, 1], [547, 2], [550, 1], [558, 2], [568, 1], [593, 2], [607, 1], [611, 3], [614, 1], [618, 1], [619, 1], [633, 1]]"
key,"[[17, 1], [572, 1], [573, 1]]"
theoretical,"[[17, 1], [28, 1], [205, 1], [219, 1], [227, 1], [234, 1], [245, 2], [271, 1], [300, 1], [310, 1], [311, 1], [312, 1], [316, 1], [324, 1], [328, 1], [352, 1], [353, 1], [413, 1], [575, 1], [621, 1]]"
paradigm,"[[17, 1], [308, 1], [435, 1], [531, 1], [538, 3], [543, 1], [577, 1], [588, 1], [590, 1]]"
modern,"[[17, 1], [21, 1], [42, 1], [53, 1], [72, 1], [90, 1], [380, 1], [396, 1], [444, 1], [495, 1], [533, 1], [597, 1]]"
arbitrage,"[[17, 1], [42, 1], [171, 1]]"
expected,"[[17, 1], [49, 1], [59, 1], [87, 1], [188, 1], [193, 1], [269, 1], [433, 1], [485, 1]]"
utility,"[[17, 1]]"
aversion,"[[17, 1]]"
trade-off,"[[17, 1]]"
behavioural,"[[17, 1], [29, 3], [72, 1], [151, 1], [228, 1], [232, 1], [252, 2], [256, 1], [263, 2], [274, 1], [275, 1], [276, 1], [280, 1], [281, 1], [282, 1], [309, 1], [318, 1], [319, 1], [338, 2], [339, 2], [357, 1]]"
prospect,"[[17, 1]]"
framing,"[[17, 1]]"
mental,"[[17, 1], [204, 1], [219, 1], [223, 1], [224, 1], [234, 1], [244, 1], [265, 1], [306, 1], [308, 1], [335, 1], [611, 1]]"
agency,"[[17, 1], [78, 1], [346, 1]]"
relationship,"[[17, 1], [21, 1], [23, 1], [33, 1], [61, 1], [63, 1], [65, 1], [95, 1], [100, 1], [137, 2], [150, 1], [175, 1], [214, 2], [224, 1], [226, 1], [241, 1], [246, 1], [271, 1], [349, 1]]"
asymmetry,"[[17, 1]]"
2372,"[[18, 1], [540, 1]]"
systems,"[[18, 1], [47, 2], [48, 1], [50, 1], [72, 1], [73, 1], [84, 1], [106, 1], [130, 1], [133, 1], [178, 1], [179, 1], [180, 1], [182, 1], [243, 1], [371, 1], [386, 1], [395, 1], [400, 2], [521, 1], [545, 1], [563, 1], [565, 1], [583, 1], [587, 1], [595, 2], [613, 1], [615, 1], [618, 1], [623, 1], [625, 1], [630, 1], [634, 1], [636, 1], [638, 1]]"
underlying,"[[18, 1], [156, 1], [232, 1], [265, 1], [271, 1], [301, 1], [304, 1], [320, 1], [476, 1], [577, 1], [584, 1]]"
infrastructure,"[[18, 1], [546, 1], [572, 1], [579, 1], [606, 1]]"
impact,"[[18, 1], [21, 1], [29, 1], [35, 1], [80, 2], [90, 1], [223, 1], [228, 1], [248, 1], [591, 1]]"
individual,"[[18, 1], [37, 2], [214, 1], [230, 1], [248, 1], [256, 1], [277, 1], [278, 1], [279, 1], [300, 2], [304, 1], [340, 2], [348, 1]]"
electronic,"[[18, 1], [46, 1], [194, 3], [579, 1], [625, 1], [629, 2]]"
legal,"[[18, 1], [39, 1], [45, 1], [46, 1], [48, 1], [91, 1], [174, 1]]"
security,"[[18, 1], [43, 1], [46, 1], [47, 1], [77, 1], [82, 1], [84, 1], [85, 1], [168, 1], [171, 2], [544, 1], [545, 1], [563, 10], [572, 2], [573, 2], [578, 1], [579, 4], [586, 1], [591, 5], [599, 1], [612, 1], [616, 1], [623, 1]]"
2381,"[[19, 1]]"
skills,"[[19, 1], [280, 1], [281, 1], [282, 1]]"
develop,"[[19, 1], [60, 2], [83, 1], [240, 1]]"
effective,"[[19, 2], [28, 1], [63, 1]]"
written,"[[19, 2], [264, 1], [641, 2]]"
oral,"[[19, 2], [641, 1]]"
skill,"[[19, 1], [22, 1], [63, 1], [65, 1], [237, 1], [273, 1], [277, 1], [278, 1], [279, 1], [280, 2], [281, 2], [282, 2], [349, 1]]"
implementing,"[[19, 1], [24, 1], [67, 1], [153, 1]]"
different,"[[19, 1], [38, 2], [46, 1], [132, 1], [141, 1], [156, 1], [174, 1], [205, 1], [210, 1], [235, 1], [327, 1], [354, 1], [355, 1]]"
audience,"[[19, 2], [477, 1]]"
presentation,"[[19, 1], [43, 1], [51, 1], [60, 1], [82, 1], [89, 1], [176, 1], [314, 1], [538, 1], [546, 1], [556, 1], [616, 1]]"
front,"[[19, 1]]"
3301,"[[20, 1], [232, 1]]"
operations,"[[20, 3], [102, 1], [136, 1], [186, 1], [366, 1], [510, 1]]"
nature,"[[20, 1], [172, 1], [217, 1], [325, 1], [340, 1], [609, 1]]"
manufacturing,"[[20, 1], [174, 1], [586, 1], [617, 1]]"
sector,"[[20, 1], [80, 1], [90, 2], [133, 1], [144, 3], [145, 1], [175, 1], [179, 1], [314, 1]]"
competitiveness,"[[20, 1]]"
supply,"[[20, 2], [21, 3], [61, 1], [67, 1], [131, 1], [137, 7], [140, 1], [160, 1], [182, 1]]"
chain,"[[20, 2], [21, 3], [61, 1], [137, 7], [364, 1], [367, 1], [368, 1], [370, 1], [372, 1], [381, 1], [444, 1]]"
design,"[[20, 1], [48, 2], [50, 1], [55, 1], [56, 1], [61, 1], [66, 1], [72, 1], [86, 1], [92, 2], [102, 1], [121, 1], [122, 1], [137, 1], [149, 1], [156, 1], [171, 1], [173, 1], [176, 1], [210, 1], [269, 1], [272, 1], [298, 1], [301, 1], [302, 1], [317, 1], [322, 1], [345, 1], [394, 1], [413, 1], [414, 4], [435, 1], [440, 1], [500, 1], [503, 4], [511, 1], [516, 1], [531, 1], [533, 2], [534, 1], [536, 1], [538, 1], [539, 2], [542, 2], [543, 2], [544, 2], [545, 1], [550, 1], [554, 1], [556, 1], [563, 2], [564, 1], [565, 3], [575, 4], [578, 1], [580, 1], [581, 1], [582, 1], [583, 1], [585, 2], [589, 1], [591, 3], [602, 1], [607, 2], [608, 1], [609, 1], [611, 2], [613, 1], [614, 1], [621, 1], [622, 1], [623, 1], [624, 1], [625, 2], [630, 1], [638, 1]]"
just-in-time,"[[20, 1]]"
managing,"[[20, 1], [44, 2], [57, 1], [64, 1], [65, 2], [92, 1], [121, 1], [137, 2], [139, 1], [157, 1], [159, 1], [181, 1]]"
forecasting,"[[20, 1], [21, 1], [33, 1], [51, 2], [67, 1], [98, 1], [143, 3], [160, 1], [175, 1]]"
aggregate,"[[20, 1], [98, 1]]"
inventory,"[[20, 1], [21, 1], [102, 1], [137, 1], [182, 1]]"
requirements,"[[20, 1], [575, 1]]"
enterprise,"[[20, 1], [28, 1], [56, 1], [84, 2], [133, 3], [135, 1], [174, 2], [333, 1]]"
requirement,"[[20, 1], [48, 3], [50, 1], [84, 1], [122, 2], [134, 3], [301, 1], [366, 2], [372, 2], [576, 1], [624, 1], [641, 1]]"
3302,"[[21, 1]]"
study,"[[21, 1], [26, 1], [27, 1], [31, 1], [33, 1], [38, 2], [45, 1], [49, 1], [50, 1], [52, 1], [59, 1], [78, 1], [84, 1], [87, 1], [143, 1], [188, 1], [193, 1], [225, 1], [226, 1], [229, 1], [230, 1], [233, 1], [240, 1], [241, 1], [247, 1], [255, 1], [280, 1], [281, 1], [282, 1], [300, 1], [308, 1], [309, 1], [314, 1], [315, 1], [320, 2], [321, 2], [322, 1], [323, 2], [328, 1], [329, 2], [330, 2], [331, 2], [358, 1], [500, 1], [532, 2], [575, 1], [577, 1], [582, 1], [587, 1], [590, 1], [601, 1], [608, 1], [611, 1], [616, 1], [618, 1]]"
competitive,"[[21, 1], [25, 3], [27, 1], [52, 2], [58, 1], [59, 1], [61, 1], [66, 1], [72, 1], [85, 1], [137, 1], [155, 1]]"
success,"[[21, 1], [121, 1], [218, 1], [231, 1]]"
integration,"[[21, 1], [38, 1], [52, 1], [58, 1], [86, 1], [130, 1], [178, 1], [229, 1], [232, 1], [264, 2], [274, 1], [275, 1], [276, 1], [364, 1], [367, 3], [370, 1], [371, 1], [385, 1], [395, 1], [399, 1], [416, 1], [419, 2], [420, 1], [456, 1], [488, 1], [544, 1], [566, 1], [569, 3], [582, 1]]"
flow,"[[21, 1], [76, 1], [137, 1], [400, 2], [409, 1], [452, 3], [459, 1], [610, 1]]"
across,"[[21, 1], [137, 1], [210, 1], [223, 1], [241, 1], [256, 1], [351, 1], [543, 1]]"
logistics,"[[21, 3]]"
procurement,"[[21, 1]]"
purchasing,"[[21, 1]]"
warehousing,"[[21, 1], [132, 1], [141, 1], [544, 1], [566, 1], [578, 1], [603, 1]]"
handling,"[[21, 1], [565, 1]]"
integrated,"[[21, 1], [32, 1], [46, 1], [321, 1], [625, 1]]"
issues,"[[21, 1], [147, 1], [154, 1], [280, 1], [281, 1], [282, 1], [317, 1], [333, 1], [352, 1], [578, 1], [624, 1]]"
global,"[[21, 1], [26, 2], [27, 1], [57, 1], [58, 1], [66, 2], [100, 1], [108, 1], [131, 1], [137, 1], [140, 1], [148, 1], [154, 2], [371, 1], [459, 1], [597, 1]]"
reverse,"[[21, 1]]"
3305,"[[22, 1]]"
simulation,"[[22, 3], [59, 1], [326, 1], [332, 3], [378, 1], [394, 1], [444, 1], [489, 1], [557, 4], [588, 1], [606, 9]]"
prescriptive,"[[22, 1], [83, 1]]"
introducing,"[[22, 1], [55, 1]]"
complex,"[[22, 1], [52, 1], [135, 1], [209, 1], [227, 1], [248, 1], [263, 1], [363, 1], [373, 1], [375, 1], [399, 2], [427, 2], [458, 1], [470, 2], [489, 1], [587, 1]]"
deterministic,"[[22, 1], [415, 1]]"
probabilistic,"[[22, 1], [310, 1], [584, 1]]"
element,"[[22, 1], [25, 1], [45, 1], [64, 1], [85, 1], [86, 1], [175, 1], [493, 1], [603, 2], [641, 1]]"
get,"[[22, 1]]"
3308,"[[23, 1]]"
mining,"[[23, 4], [494, 1], [566, 2], [603, 1], [617, 1], [625, 1], [627, 3]]"
task,"[[23, 1], [194, 1], [586, 3]]"
classification,"[[23, 1], [401, 1], [402, 1], [411, 1], [421, 1], [460, 1], [494, 1], [495, 1], [501, 1], [562, 1], [566, 1], [567, 1], [627, 1]]"
clustering,"[[23, 1], [411, 1], [494, 1], [566, 1], [567, 1], [602, 1], [604, 1], [613, 1], [625, 1], [626, 1]]"
association,"[[23, 1], [517, 1], [627, 1]]"
rule,"[[23, 1], [364, 1], [365, 1], [367, 4], [368, 1], [370, 2], [372, 1], [381, 1]]"
tree,"[[23, 1], [374, 1], [439, 1], [451, 1], [452, 1], [453, 1], [537, 2], [541, 1], [581, 2], [600, 1], [619, 1]]"
neural,"[[23, 1], [232, 1], [339, 1], [443, 1], [605, 1]]"
network,"[[23, 1], [47, 1], [85, 3], [130, 1], [131, 1], [140, 1], [178, 1], [183, 1], [373, 1], [409, 1], [443, 1], [452, 1], [489, 3], [506, 3], [554, 1], [556, 2], [564, 1], [572, 3], [583, 1], [585, 1], [586, 1], [596, 3], [599, 3], [600, 1], [602, 2], [605, 2], [610, 1], [614, 4], [616, 1]]"
big,"[[23, 2], [132, 4], [141, 4], [566, 1], [590, 1], [627, 1]]"
examples,"[[23, 1], [376, 1], [394, 1], [413, 1], [415, 1], [545, 1], [546, 1], [554, 1]]"
credit,"[[23, 1], [40, 1], [43, 2], [82, 2], [366, 1], [372, 2]]"
scoring,"[[23, 1], [274, 1], [275, 1], [276, 1]]"
churn,"[[23, 1]]"
survival,"[[23, 1], [518, 1]]"
3313,"[[24, 1]]"
new,"[[24, 1], [53, 4], [61, 1], [95, 1], [135, 1], [181, 2], [253, 1], [302, 1], [314, 1]]"
venture,"[[24, 1], [57, 1], [176, 1]]"
creation,"[[24, 1]]"
validation,"[[24, 2], [33, 1], [317, 1], [557, 1], [575, 3], [580, 2], [615, 1]]"
evaluation,"[[24, 1], [35, 1], [51, 1], [65, 1], [146, 2], [152, 1], [157, 1], [160, 1], [162, 1], [173, 1], [222, 1], [264, 3], [268, 1], [300, 1], [302, 3], [305, 1], [310, 1], [314, 2], [322, 1], [323, 1], [326, 1], [346, 1], [347, 5], [489, 1], [543, 1], [566, 1], [582, 2], [589, 1], [591, 1], [625, 1], [627, 1]]"
plan,"[[24, 5], [60, 2], [66, 1], [67, 1], [74, 1], [121, 1], [153, 2], [176, 2], [196, 1]]"
project,"[[24, 1], [50, 8], [51, 1], [59, 1], [60, 1], [102, 1], [121, 9], [122, 6], [146, 2], [173, 4], [180, 1], [196, 3], [214, 1], [249, 1], [250, 1], [251, 1], [253, 1], [273, 1], [298, 2], [314, 2], [327, 1], [532, 3], [539, 1], [544, 1], [557, 1], [625, 1], [631, 2]]"
actual,"[[24, 1]]"
idea,"[[24, 2]]"
crafting,"[[24, 1]]"
building,"[[24, 1], [63, 1], [134, 1], [553, 1]]"
writing,"[[24, 1], [210, 1], [319, 1], [532, 1]]"
3316,"[[25, 1]]"
main,"[[25, 1], [179, 1], [233, 1], [320, 1], [332, 1], [358, 1], [396, 1], [611, 1]]"
fundamental,"[[25, 1], [45, 1], [52, 1], [85, 1], [220, 1], [266, 1], [363, 1], [367, 1], [370, 1], [373, 1], [374, 1], [382, 1], [424, 2], [425, 1], [459, 1], [463, 2], [472, 1], [539, 1], [555, 1], [556, 1], [584, 1]]"
insight,"[[25, 1]]"
foresight,"[[25, 1]]"
peripheral,"[[25, 1]]"
vision,"[[25, 1], [245, 1]]"
better,"[[25, 1], [83, 1]]"
understand,"[[25, 1]]"
3317,"[[26, 1]]"
merchants,"[[26, 1]]"
traders,"[[26, 1]]"
capitalists,"[[26, 1]]"
profit,"[[26, 2], [30, 1], [95, 1], [150, 1], [155, 1]]"
seekers,"[[26, 1]]"
examines,"[[26, 1], [69, 1]]"
evaluates,"[[26, 1]]"
merchant,"[[26, 1]]"
trader,"[[26, 1]]"
financier,"[[26, 1], [176, 1]]"
marketer,"[[26, 1]]"
seeker,"[[26, 1]]"
15th,"[[26, 1]]"
19th,"[[26, 1]]"
century,"[[26, 1]]"
contributed,"[[26, 1]]"
trade,"[[26, 1], [27, 1], [148, 3]]"
emphasizes,"[[26, 1], [72, 1], [603, 1]]"
intertwining,"[[26, 1], [438, 1]]"
cultural,"[[26, 1], [48, 1], [57, 1], [151, 1]]"
via,"[[26, 1], [43, 1], [51, 1], [82, 1], [367, 1], [394, 1], [429, 1], [473, 1]]"
discussion,"[[26, 1], [51, 1], [306, 1], [314, 1], [326, 1], [351, 1]]"
reading,"[[26, 1], [240, 2], [617, 1]]"
source,"[[26, 1], [37, 1], [306, 1], [533, 1], [569, 1]]"
3318,"[[27, 1]]"
international,"[[27, 3], [28, 2], [44, 1], [62, 4], [66, 1], [79, 3], [90, 1], [110, 1], [119, 1], [120, 1], [123, 1], [131, 9], [134, 1], [140, 9], [148, 1], [154, 2], [155, 1], [170, 3], [191, 1], [199, 1], [202, 2]]"
perspective,"[[27, 1], [46, 1], [58, 1], [90, 1], [100, 1], [156, 1], [157, 1], [203, 1], [205, 1], [229, 1], [244, 1], [280, 1], [281, 1], [282, 1], [289, 1], [290, 1], [291, 1], [302, 1], [533, 1], [557, 1], [577, 1], [583, 1], [588, 1]]"
regional,"[[27, 1], [57, 1]]"
pattern,"[[27, 1], [494, 1], [495, 1], [537, 1], [562, 3], [566, 1], [608, 1], [617, 1], [619, 2], [625, 1], [627, 1], [638, 1]]"
institution,"[[27, 1], [172, 1]]"
imf,"[[27, 1]]"
wto,"[[27, 1]]"
cnuced,"[[27, 1]]"
etc,"[[27, 2], [234, 2], [318, 1], [336, 1], [385, 1], [418, 1], [478, 1], [607, 1]]"
trading,"[[27, 1]]"
block,"[[27, 1], [414, 1], [440, 1], [503, 2], [573, 1], [589, 1]]"
eu,"[[27, 1]]"
nafta,"[[27, 1]]"
apec,"[[27, 1]]"
analyzed,"[[27, 1], [376, 1], [394, 1], [415, 1]]"
questions,"[[27, 1]]"
related,"[[27, 1], [38, 1], [61, 1], [67, 1], [85, 1], [100, 1], [174, 1], [248, 1], [253, 1], [264, 1], [301, 1], [333, 1], [352, 1], [357, 1], [367, 1], [452, 1], [500, 1], [538, 1], [571, 1], [574, 1]]"
also,"[[27, 1], [39, 1], [68, 1], [83, 1], [369, 1]]"
considered,"[[27, 1], [58, 1]]"
3319,"[[28, 1]]"
cross-cultural,"[[28, 1], [223, 2]]"
diagnostic,"[[28, 1], [262, 1], [318, 1]]"
intercultural,"[[28, 4], [214, 1]]"
situation,"[[28, 2]]"
aspect,"[[28, 1], [151, 1], [211, 1], [213, 1], [217, 1], [234, 1], [240, 1], [328, 1], [334, 1], [338, 2], [339, 1], [343, 1], [352, 1], [353, 1], [379, 1], [552, 1], [562, 1], [575, 1], [579, 1], [613, 1], [614, 1]]"
discipline,"[[28, 1]]"
linked,"[[28, 1]]"
comparative,"[[28, 1], [128, 1], [129, 1], [200, 1], [309, 2]]"
relation,"[[28, 1], [34, 4], [56, 1], [57, 1], [88, 1], [90, 2], [93, 1], [157, 1], [158, 4], [219, 1], [223, 1], [263, 1], [267, 1], [320, 1], [347, 1], [374, 1], [375, 1], [388, 2], [390, 2], [427, 1], [449, 1], [470, 1], [536, 1], [552, 1]]"
structure,"[[28, 1], [34, 1], [35, 1], [40, 1], [41, 1], [57, 1], [78, 1], [86, 1], [97, 1], [100, 1], [156, 1], [158, 1], [161, 1], [167, 1], [172, 1], [175, 1], [266, 1], [306, 1], [345, 1], [374, 2], [384, 1], [423, 1], [428, 1], [453, 1], [536, 1], [543, 1], [559, 1], [560, 1], [565, 1], [571, 1], [578, 1], [581, 3], [587, 1], [602, 1], [619, 1], [630, 1]]"
transfer,"[[28, 1], [161, 1]]"
team,"[[28, 1], [43, 1], [60, 1], [82, 1], [539, 1], [544, 1]]"
synergy,"[[28, 1]]"
profile,"[[28, 1]]"
interculturally,"[[28, 1]]"
person,"[[28, 1]]"
feminine,"[[28, 1]]"
monograph,"[[28, 1]]"
socio-political,"[[28, 1]]"
country,"[[28, 1], [57, 1], [175, 1]]"
canadian,"[[28, 1], [37, 1], [43, 1], [45, 1], [82, 1], [96, 1], [97, 1], [148, 1], [174, 1], [175, 2]]"
diversity,"[[28, 1], [64, 1], [93, 1], [160, 1]]"
charter,"[[28, 1], [50, 1], [121, 1]]"
rights,"[[28, 1]]"
freedoms,"[[28, 1]]"
legislation,"[[28, 1], [34, 1], [35, 1], [64, 1], [158, 1], [160, 1], [174, 2]]"
multiculturalism,"[[28, 1]]"
acculturation,"[[28, 1]]"
3321,"[[29, 1]]"
consumer,"[[29, 4], [91, 1], [97, 1], [151, 2], [174, 1]]"
synthesis,"[[29, 1], [153, 1]]"
psychology,"[[29, 2], [203, 2], [204, 2], [205, 1], [206, 2], [207, 2], [208, 2], [209, 2], [210, 1], [211, 1], [212, 2], [213, 3], [216, 2], [219, 2], [221, 2], [222, 2], [223, 2], [224, 2], [225, 2], [230, 2], [231, 2], [234, 1], [236, 1], [238, 2], [240, 2], [243, 3], [244, 2], [245, 1], [246, 2], [249, 1], [250, 1], [251, 1], [252, 2], [253, 1], [255, 1], [256, 2], [257, 2], [258, 2], [259, 2], [261, 1], [265, 2], [267, 3], [268, 2], [269, 1], [270, 1], [305, 1], [308, 3], [311, 2], [314, 2], [316, 2], [319, 1], [320, 1], [321, 1], [322, 1], [326, 1], [327, 2], [333, 1], [335, 1], [337, 2], [341, 1], [344, 2], [350, 1], [351, 1], [352, 1], [354, 1], [355, 1], [359, 2]]"
sociology,"[[29, 1]]"
recent,"[[29, 1], [324, 1], [333, 1], [559, 1], [612, 1], [618, 1]]"
investigated,"[[29, 1], [378, 1]]"
light,"[[29, 1], [310, 1], [597, 1], [601, 1]]"
individually,"[[29, 1], [253, 1]]"
mediated,"[[29, 1]]"
3322,"[[30, 1]]"
services,"[[30, 1], [150, 1], [349, 1]]"
involved,"[[30, 1], [622, 1]]"
concern,"[[30, 1], [64, 1], [218, 1], [582, 1]]"
industry,"[[30, 1], [133, 1], [134, 1], [148, 1]]"
i.e,"[[30, 2], [53, 1]]"
tourism,"[[30, 1], [150, 1]]"
primarily,"[[30, 1], [363, 1], [365, 1]]"
sell,"[[30, 1]]"
good,"[[30, 1], [64, 1], [182, 1], [194, 1]]"
computer,"[[30, 1], [86, 1], [89, 1], [142, 1], [143, 1], [177, 1], [270, 1], [301, 1], [332, 2], [345, 1], [378, 3], [410, 1], [448, 1], [478, 1], [494, 1], [495, 1], [533, 1], [534, 1], [535, 1], [536, 1], [548, 1], [549, 1], [556, 3], [560, 2], [561, 1], [563, 2], [564, 1], [565, 1], [570, 1], [591, 1], [594, 2], [595, 2], [597, 1], [598, 1], [601, 1], [607, 1], [610, 1], [631, 1], [635, 1], [636, 1]]"
special,"[[30, 1], [38, 1], [50, 1], [74, 1], [146, 1], [212, 1], [225, 1], [238, 1], [255, 1], [257, 1], [258, 1], [259, 1], [317, 1], [403, 1], [437, 1], [450, 1], [477, 1], [617, 1]]"
attention,"[[30, 1], [38, 1], [155, 1], [224, 1], [245, 1], [265, 1], [269, 1], [306, 1], [322, 1], [369, 1], [476, 1], [591, 1]]"
given,"[[30, 1], [38, 1], [67, 1], [155, 1], [369, 1]]"
non-profit,"[[30, 1], [94, 1], [150, 1], [155, 1]]"
3323,"[[31, 1]]"
